date,open,high,low,close,adjusted close,volume,dividend,split,sma20,sma55,signal
2023-06-20 00:00:00,124.97,127.25,124.5,125.78,125.78,56930122.0,0.0,1.0,,,
2023-06-16 00:00:00,127.71,127.9,125.3,125.49,125.49,84247104.0,0.0,1.0,,,
2023-06-15 00:00:00,125.21,127.69,124.32,127.11,127.11,60458471.0,0.0,1.0,,,
2023-06-14 00:00:00,126.7,126.95,124.12,126.42,126.42,52422463.0,0.0,1.0,,,
2023-06-13 00:00:00,128.12,128.41,125.18,126.66,126.66,50564785.0,0.0,1.0,,,
2023-06-12 00:00:00,124.02,126.78,123.53,126.57,126.57,51473376.0,0.0,1.0,,,
2023-06-09 00:00:00,124.08,125.8,123.19,123.43,123.43,51396018.0,0.0,1.0,,,
2023-06-08 00:00:00,123.01,125.625,122.2579,124.25,124.25,62159270.0,0.0,1.0,,,
2023-06-07 00:00:00,127.01,127.365,120.63,121.23,121.23,95663275.0,0.0,1.0,,,
2023-06-06 00:00:00,125.07,127.4,125.0,126.61,126.61,45695212.0,0.0,1.0,,,
2023-06-05 00:00:00,123.36,125.8,123.03,125.3,125.3,47950128.0,0.0,1.0,,,
2023-06-02 00:00:00,124.92,126.39,124.015,124.25,124.25,61264414.0,0.0,1.0,,,
2023-06-01 00:00:00,120.69,123.49,119.93,122.77,122.77,54375131.0,0.0,1.0,,,
2023-05-31 00:00:00,121.45,122.04,119.17,120.58,120.58,71769273.0,0.0,1.0,,,
2023-05-30 00:00:00,122.37,122.92,119.855,121.66,121.66,64314808.0,0.0,1.0,,,
2023-05-26 00:00:00,116.04,121.5,116.02,120.11,120.11,96779889.0,0.0,1.0,,,
2023-05-25 00:00:00,116.63,116.87,114.31,115.0,115.0,66496681.0,0.0,1.0,,,
2023-05-24 00:00:00,115.35,117.34,115.02,116.75,116.75,63487938.0,0.0,1.0,,,
2023-05-23 00:00:00,114.27,117.14,113.78,114.99,114.99,67576262.0,0.0,1.0,,,
2023-05-22 00:00:00,116.77,116.77,114.25,115.01,115.01,70741123.0,0.0,1.0,122.49849999999999,,
2023-05-19 00:00:00,118.16,118.31,115.7,116.25,116.25,55056307.0,0.0,1.0,122.02199999999998,,
2023-05-18 00:00:00,116.69,118.6,116.335,118.15,118.15,73174087.0,0.0,1.0,121.655,,
2023-05-17 00:00:00,114.89,115.83,114.22,115.5,115.5,65655177.0,0.0,1.0,121.07449999999999,,
2023-05-16 00:00:00,111.05,114.7899,111.05,113.4,113.4,71472908.0,0.0,1.0,120.42349999999999,,
2023-05-15 00:00:00,111.15,112.29,109.25,111.2,111.2,53011145.0,0.0,1.0,119.6505,,
2023-05-12 00:00:00,112.16,112.64,109.3185,110.26,110.26,49852671.0,0.0,1.0,118.835,,
2023-05-11 00:00:00,111.03,113.28,110.49,112.18,112.18,74924841.0,0.0,1.0,118.2725,,
2023-05-10 00:00:00,108.1,110.67,108.05,110.19,110.19,78627616.0,0.0,1.0,117.56949999999999,,
2023-05-09 00:00:00,105.48,106.79,105.1567,106.62,106.62,44089359.0,0.0,1.0,116.83899999999998,,
2023-05-08 00:00:00,105.04,106.095,104.7001,105.83,105.83,49430909.0,0.0,1.0,115.8,,
2023-05-05 00:00:00,104.27,105.76,103.55,105.655,105.655,56951744.0,0.0,1.0,114.81775,,
2023-05-04 00:00:00,104.04,105.39,103.3117,104.0,104.0,45345523.0,0.0,1.0,113.80525,,
2023-05-03 00:00:00,103.735,105.96,103.28,103.65,103.65,65051925.0,0.0,1.0,112.84925000000001,,
2023-05-02 00:00:00,101.47,103.9,101.15,103.63,103.63,73469350.0,0.0,1.0,112.00175000000002,,
2023-05-01 00:00:00,104.95,105.23,101.82,102.05,102.05,74728096.0,0.0,1.0,111.02124999999998,,
2023-04-28 00:00:00,107.73,109.48,104.33,105.45,105.45,130715946.0,0.0,1.0,110.28825000000002,,
2023-04-27 00:00:00,108.16,110.86,106.8,109.82,109.82,149961167.0,0.0,1.0,110.02925,,
2023-04-26 00:00:00,105.04,106.62,104.1,104.98,104.98,71821215.0,0.0,1.0,109.44075000000001,,
2023-04-25 00:00:00,104.91,105.45,102.45,102.57,102.57,65026818.0,0.0,1.0,108.81975,,
2023-04-24 00:00:00,107.655,109.23,105.07,106.21,106.21,69575610.0,0.0,1.0,108.37975000000002,,
2023-04-21 00:00:00,106.1,108.15,105.08,106.96,106.96,86774185.0,0.0,1.0,107.91525000000001,,
2023-04-20 00:00:00,103.53,105.25,103.21,103.81,103.81,57696866.0,0.0,1.0,107.19825,,
2023-04-19 00:00:00,101.58,105.12,101.39,104.3,104.3,58398890.0,0.0,1.0,106.63825000000001,,
2023-04-18 00:00:00,103.95,104.2,101.52,102.3,102.3,39790518.0,0.0,1.0,106.08324999999999,,
2023-04-17 00:00:00,103.16,103.73,101.59,102.74,102.74,39791535.0,0.0,1.0,105.66024999999999,,
2023-04-14 00:00:00,102.07,103.2013,101.11,102.51,102.51,51450522.0,0.0,1.0,105.27275,,
2023-04-13 00:00:00,98.95,102.57,98.71,102.4,102.4,67925138.0,0.0,1.0,104.78374999999998,,
2023-04-12 00:00:00,100.4,100.51,97.705,97.83,97.83,56735007.0,0.0,1.0,104.16575,,
2023-04-11 00:00:00,100.8,101.0,99.01,99.92,99.92,60417847.0,0.0,1.0,103.83075,,
2023-04-10 00:00:00,100.96,102.2,99.57,102.17,102.17,37261185.0,0.0,1.0,103.64775,,
2023-04-06 00:00:00,100.75,102.3817,99.8008,102.06,102.06,43808020.0,0.0,1.0,103.468,,
2023-04-05 00:00:00,103.91,103.91,100.7506,101.1,101.1,45175393.0,0.0,1.0,103.32300000000001,,
2023-04-04 00:00:00,102.75,104.2,102.11,103.95,103.95,48662496.0,0.0,1.0,103.338,,
2023-04-03 00:00:00,102.3,103.29,101.43,102.41,102.41,41135733.0,0.0,1.0,103.277,,
2023-03-31 00:00:00,102.16,103.49,101.95,103.29,103.29,56750317.0,0.0,1.0,103.33899999999998,111.91481818181818,
2023-03-30 00:00:00,101.55,103.04,101.01,102.0,102.0,53633398.0,0.0,1.0,103.1665,111.48245454545454,
2023-03-29 00:00:00,98.69,100.4218,98.56,100.25,100.25,49783279.0,0.0,1.0,102.68799999999999,111.02354545454544,
2023-03-28 00:00:00,98.11,98.44,96.29,97.24,97.24,38720050.0,0.0,1.0,102.301,110.48045454545455,
2023-03-27 00:00:00,99.07,99.34,97.08,98.04,98.04,46721296.0,0.0,1.0,102.0745,109.96445454545454,
2023-03-24 00:00:00,98.065,98.3,96.4,98.13,98.13,56144801.0,0.0,1.0,101.67049999999999,109.44572727272728,
2023-03-23 00:00:00,100.43,101.06,97.62,98.71,98.71,57559310.0,0.0,1.0,101.258,108.93918181818184,
2023-03-22 00:00:00,100.45,102.1,98.61,98.7,98.7,57475365.0,0.0,1.0,101.0025,108.48954545454546,
2023-03-21 00:00:00,98.14,100.845,98.0,100.61,100.61,58597275.0,0.0,1.0,100.818,108.05972727272727,
2023-03-20 00:00:00,98.41,98.48,95.7,97.71,97.71,62388911.0,0.0,1.0,100.5885,107.63209090909092,
2023-03-17 00:00:00,99.79,100.66,97.455,98.95,98.95,87300242.0,0.0,1.0,100.399,107.1291818181818,
2023-03-16 00:00:00,95.75,100.99,95.61,100.04,100.04,84558934.0,0.0,1.0,100.2755,106.66990909090907,
2023-03-15 00:00:00,93.22,96.67,93.07,96.2,96.2,70731792.0,0.0,1.0,99.96549999999999,106.1599090909091,
2023-03-14 00:00:00,93.83,95.07,92.71,94.88,94.88,60912674.0,0.0,1.0,99.81800000000001,105.65281818181818,
2023-03-13 00:00:00,89.97,94.02,88.12,92.43,92.43,72397053.0,0.0,1.0,99.4435,105.141,
2023-03-10 00:00:00,92.67,93.57,90.245,90.73,90.73,69827490.0,0.0,1.0,98.8715,104.57863636363638,
2023-03-09 00:00:00,93.68,96.21,92.18,92.25,92.25,56218705.0,0.0,1.0,98.381,104.07209090909092,
2023-03-08 00:00:00,93.6,94.165,92.18,93.92,93.92,44899128.0,0.0,1.0,98.022,103.68881818181816,
2023-03-07 00:00:00,94.06,95.09,92.78,93.55,93.55,49100668.0,0.0,1.0,97.502,103.267,
2023-03-06 00:00:00,95.19,96.545,93.74,93.75,93.75,52112355.0,0.0,1.0,97.06899999999999,102.88081818181817,
2023-03-03 00:00:00,92.74,94.94,92.66,94.9,94.9,55759609.0,0.0,1.0,96.6495,102.51518181818182,
2023-03-02 00:00:00,91.41,92.23,90.39,92.13,92.13,55574820.0,0.0,1.0,96.15599999999999,102.07663636363637,
2023-03-01 00:00:00,93.87,94.68,91.59,92.17,92.17,52299524.0,0.0,1.0,95.752,101.60427272727271,
2023-02-28 00:00:00,93.14,94.69,92.92,94.23,94.23,43959290.0,0.0,1.0,95.6015,101.21754545454546,
2023-02-27 00:00:00,94.28,94.78,93.14,93.76,93.76,47470321.0,0.0,1.0,95.3875,100.86045454545454,
2023-02-24 00:00:00,93.53,94.14,92.3186,93.5,93.5,57053812.0,0.0,1.0,95.156,100.53863636363636,
2023-02-23 00:00:00,96.12,96.43,93.67,95.82,95.82,48466994.0,0.0,1.0,95.0115,100.27609090909091,
2023-02-22 00:00:00,95.1,97.01,94.8,95.79,95.79,59534094.0,0.0,1.0,94.866,99.97809090909091,
2023-02-21 00:00:00,95.335,95.605,94.27,94.58,94.58,56580360.0,0.0,1.0,94.56450000000001,99.69427272727272,
2023-02-17 00:00:00,97.8,97.94,95.65,97.2,97.2,60029405.0,0.0,1.0,94.53900000000002,99.523,
2023-02-16 00:00:00,99.21,100.63,98.1,98.15,98.15,56339173.0,0.0,1.0,94.499,99.38336363636364,
2023-02-15 00:00:00,99.09,101.17,98.45,101.16,101.16,48053879.0,0.0,1.0,94.555,99.30163636363636,
2023-02-14 00:00:00,98.41,100.9207,97.52,99.7,99.7,56202898.0,0.0,1.0,94.73,99.22345454545454,
2023-02-13 00:00:00,97.85,99.68,96.91,99.54,99.54,52841464.0,0.0,1.0,94.963,99.14872727272726,
2023-02-10 00:00:00,97.56,98.8163,96.23,97.61,97.61,52740133.0,0.0,1.0,95.22200000000001,99.03927272727275,
2023-02-09 00:00:00,101.32,101.78,97.57,98.24,98.24,64622489.0,0.0,1.0,95.5975,98.97000000000001,
2023-02-08 00:00:00,102.04,102.6699,98.775,100.05,100.05,75878304.0,0.0,1.0,95.9875,98.8718181818182,
2023-02-07 00:00:00,101.17,102.41,98.08,102.11,102.11,119501301.0,0.0,1.0,96.397,98.73163636363635,
2023-02-06 00:00:00,102.925,103.9484,100.65,102.18,102.18,81945199.0,0.0,1.0,96.8285,98.68072727272728,
2023-02-03 00:00:00,105.26,108.78,102.52,103.39,103.39,144374828.0,0.0,1.0,97.3105,98.69563636363637,
2023-02-02 00:00:00,110.245,114.0,108.88,112.91,112.91,158154243.0,0.0,1.0,98.211,98.81745454545455,
2023-02-01 00:00:00,102.53,106.24,101.24,105.15,105.15,80450121.0,0.0,1.0,98.862,98.78454545454547,
2023-01-31 00:00:00,101.155,103.3484,101.14,103.13,103.13,66527253.0,0.0,1.0,99.41,98.77218181818182,
2023-01-30 00:00:00,101.09,101.74,99.01,100.55,100.55,70691860.0,0.0,1.0,99.726,98.704,
2023-01-27 00:00:00,99.53,103.485,99.53,102.24,102.24,87775614.0,0.0,1.0,100.15,98.70290909090909,
2023-01-26 00:00:00,98.235,99.49,96.92,99.22,99.22,68523557.0,0.0,1.0,100.436,98.63890909090908,
2023-01-25 00:00:00,92.56,97.24,91.52,97.18,97.18,94261570.0,0.0,1.0,100.504,98.54199999999999,
2023-01-24 00:00:00,96.93,98.09,96.0,96.32,96.32,66929452.0,0.0,1.0,100.5305,98.43145454545454,
2023-01-23 00:00:00,97.56,97.78,95.86,97.52,97.52,76501103.0,0.0,1.0,100.6775,98.42581818181819,
2023-01-20 00:00:00,93.86,97.354,93.2025,97.25,97.25,67481539.0,0.0,1.0,100.67999999999999,98.37727272727273,
2023-01-19 00:00:00,94.74,95.44,92.86,93.68,93.68,69002663.0,0.0,1.0,100.4565,98.2229090909091,
2023-01-18 00:00:00,97.25,99.32,95.38,95.46,95.46,79570370.0,0.0,1.0,100.1715,98.10290909090911,
2023-01-17 00:00:00,98.68,98.89,95.73,96.05,96.05,72755001.0,0.0,1.0,99.989,98.0110909090909,
2023-01-13 00:00:00,94.18,98.37,94.12,98.12,98.12,85549432.0,0.0,1.0,99.91799999999999,97.90509090909092,
2023-01-12 00:00:00,96.93,97.19,93.5,95.27,95.27,85254781.0,0.0,1.0,99.801,97.77527272727274,
2023-01-11 00:00:00,90.93,95.26,90.93,95.09,95.09,103126183.0,0.0,1.0,99.6435,97.62618181818183,
2023-01-10 00:00:00,87.57,90.185,87.29,89.87,89.87,67756601.0,0.0,1.0,99.1345,97.40563636363638,
